,Area,District,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
43,Punjab,Bhakkar,Wheat,1996,1866.41791,1485,502.86,16.57
44,Punjab,Bhakkar,Wheat,1997,2171.348315,1485,502.86,16.57
45,Punjab,Bhakkar,Wheat,1998,1961.567445,1485,502.86,16.57
46,Punjab,Bhakkar,Wheat,1999,2380.029155,1485,502.86,16.57
47,Punjab,Bhakkar,Wheat,2000,2241.452991,1485,565.82,16.67
48,Punjab,Bhakkar,Wheat,2001,2165.787491,1485,565.82,16.67
49,Punjab,Bhakkar,Wheat,2002,2437.070938,1485,565.82,16.67
50,Punjab,Bhakkar,Wheat,2003,2300.595238,1485,565.82,16.67
51,Punjab,Bhakkar,Wheat,2004,2466.435986,1485,628.79,16.59
52,Punjab,Bhakkar,Wheat,2005,2427.016645,1485,628.79,16.59
53,Punjab,Bhakkar,Wheat,2006,2369.032258,1485,628.79,16.59
54,Punjab,Bhakkar,Wheat,2007,2143.757881,1485,628.79,16.59
55,Punjab,Bhakkar,Wheat,2008,2273.266153,1485,691.75,16.47
56,Punjab,Khushab,Wheat,1981,0,1485,691.75,16.47
57,Punjab,Khushab,Wheat,1982,1263.214671,1485,691.75,16.47
58,Punjab,Khushab,Wheat,1983,822,1485,691.75,16.47
59,Punjab,Khushab,Wheat,1984,983.3852544,1485,817.68,16.16
60,Punjab,Khushab,Wheat,1985,1240.449438,1485,817.68,16.16
61,Punjab,Khushab,Wheat,1986,915.0837989,1485,817.68,16.16
62,Punjab,Khushab,Wheat,1987,966.8174962,1485,817.68,16.16
63,Punjab,Khushab,Wheat,1988,1097.799511,1485,880.64,15.67
64,Punjab,Khushab,Wheat,1989,1073.566085,1485,880.64,15.67
65,Punjab,Khushab,Wheat,1990,1144.099379,1485,880.64,15.67
66,Punjab,Khushab,Wheat,1991,1214.55458,1485,880.64,15.67
67,Punjab,Khushab,Wheat,1992,1140.684411,1485,943.61,15.92
68,Punjab,Khushab,Wheat,1993,1205.323194,1485,943.61,15.92
69,Punjab,Khushab,Wheat,1994,1423.638778,1485,943.61,15.92
70,Punjab,Khushab,Wheat,1995,1432.679739,1485,943.61,15.92
71,Punjab,Khushab,Wheat,1996,1415.243101,1485,1006.57,16.67
72,Punjab,Khushab,Wheat,1997,1757.831325,1485,1006.57,16.67
73,Punjab,Khushab,Wheat,1998,1700.130719,1485,1006.57,16.67
74,Punjab,Khushab,Wheat,1999,1458.935361,1485,1006.57,16.67
75,Punjab,Khushab,Wheat,2000,1476.256983,1485,1069.54,16.71
76,Punjab,Khushab,Wheat,2001,1399.390244,1485,1069.54,16.71
77,Punjab,Khushab,Wheat,2002,1695.224719,1485,1069.54,16.71
78,Punjab,Khushab,Wheat,2003,1740.331492,1485,1069.54,16.71
79,Punjab,Khushab,Wheat,2004,1971.13164,1485,1132.5,16.73
80,Punjab,Khushab,Wheat,2005,2103.044496,1485,1132.5,16.73
81,Punjab,Khushab,Wheat,2006,1972.157773,1485,1132.5,16.73
82,Punjab,Khushab,Wheat,2007,1586.651054,1485,1132.5,16.73
83,Punjab,Khushab,Wheat,2008,1783.913565,1485,1311.17,16.52
84,Punjab,Mianwali,Wheat,1981,2510.39261,1485,1311.17,16.52
85,Punjab,Mianwali,Wheat,1982,1202.20299,1485,1311.17,16.52
86,Punjab,Mianwali,Wheat,1983,1141.996558,1485,1311.17,16.52
87,Punjab,Mianwali,Wheat,1984,1037.099494,1485,1302.63,16.45
88,Punjab,Mianwali,Wheat,1985,1263.018535,1485,1302.63,16.45
89,Punjab,Mianwali,Wheat,1986,1231.942215,1485,1302.63,16.45
90,Punjab,Mianwali,Wheat,1987,1268.067227,1485,1302.63,16.45
91,Punjab,Mianwali,Wheat,1988,1387.072243,1485,766.25,16.7
92,Punjab,Mianwali,Wheat,1989,1398.133748,1485,766.25,16.7
93,Punjab,Mianwali,Wheat,1990,1458.211144,1485,766.25,16.7
94,Punjab,Mianwali,Wheat,1991,1504.285714,1485,766.25,16.7
95,Punjab,Mianwali,Wheat,1992,1359.809912,1485,982.32,17.41
96,Punjab,Mianwali,Wheat,1993,1421.192053,1485,982.32,17.41
97,Punjab,Mianwali,Wheat,1994,1473.831124,1485,982.32,17.41
98,Punjab,Mianwali,Wheat,1995,1554.073034,1485,982.32,17.41
99,Punjab,Mianwali,Wheat,1996,1542.022792,89,1828.92,17.48
100,Punjab,Mianwali,Wheat,1997,1818.240621,89,1828.92,17.48
101,Punjab,Mianwali,Wheat,1998,1898.943197,89,1828.92,17.48
102,Punjab,Mianwali,Wheat,1999,1618.652144,89,1828.92,17.48
103,Punjab,Mianwali,Wheat,2000,1498.274672,89,1828.92,17.48
104,Punjab,Mianwali,Wheat,2001,1770.588235,89,2461.8,16.26
105,Punjab,Mianwali,Wheat,2002,1955.789474,89,2461.8,16.26
106,Punjab,Mianwali,Wheat,2003,2030.199039,89,2461.8,16.26
107,Punjab,Mianwali,Wheat,2004,2226.936027,89,2461.8,16.26
108,Punjab,Mianwali,Wheat,2005,2055.11811,89,2461.8,16.26
109,Punjab,Mianwali,Wheat,2006,2079.099307,89,1215.47,16.27
110,Punjab,Mianwali,Wheat,2007,1834.840265,89,1215.47,16.27
111,Punjab,Mianwali,Wheat,2008,1894.137735,89,1215.47,16.27
112,Punjab,Rawalpindi,Wheat,1981,931.7789292,89,1215.47,16.27
113,Punjab,Rawalpindi,Wheat,1982,1226.171244,89,1215.47,16.27
114,Punjab,Rawalpindi,Wheat,1983,1046.848382,89,1021.89,17
115,Punjab,Rawalpindi,Wheat,1984,948.0408859,89,1021.89,17
116,Punjab,Rawalpindi,Wheat,1985,1353.637902,89,1021.89,17
117,Punjab,Rawalpindi,Wheat,1986,1206.477733,89,1021.89,17
118,Punjab,Rawalpindi,Wheat,1987,647.3638721,89,1021.89,17
119,Punjab,Rawalpindi,Wheat,1988,956.4102564,89,1255.02,17.88
120,Punjab,Rawalpindi,Wheat,1989,1228.691983,89,1255.02,17.88
121,Punjab,Rawalpindi,Wheat,1990,1728.643216,89,1255.02,17.88
122,Punjab,Rawalpindi,Wheat,1991,1536.502547,89,1255.02,17.88
123,Punjab,Rawalpindi,Wheat,1992,1334.154351,89,2697.09,17.36
124,Punjab,Rawalpindi,Wheat,1993,794.2664418,89,2697.09,17.36
125,Punjab,Rawalpindi,Wheat,1994,1421.535893,89,2697.09,17.36
126,Punjab,Rawalpindi,Wheat,1995,1562.601626,89,2697.09,17.36
127,Punjab,Rawalpindi,Wheat,1996,1134.646962,89,2697.09,17.36
128,Punjab,Rawalpindi,Wheat,1997,1954.991817,89,479.77,16.76
129,Punjab,Rawalpindi,Wheat,1998,1720.772947,89,479.77,16.76
130,Punjab,Rawalpindi,Wheat,1999,1609.243028,89,479.77,16.76
131,Punjab,Rawalpindi,Wheat,2000,624.0140228,89,479.77,16.76
132,Punjab,Rawalpindi,Wheat,2001,981.5668203,89,479.77,16.76
133,Punjab,Rawalpindi,Wheat,2002,1592.863678,89,401.22,17.84
134,Punjab,Rawalpindi,Wheat,2003,1576.819407,89,401.22,17.84
135,Punjab,Rawalpindi,Wheat,2004,1915.672913,89,401.22,17.84
136,Punjab,Rawalpindi,Wheat,2005,1731.555556,89,401.22,17.84
137,Punjab,Rawalpindi,Wheat,2006,1993.061578,89,401.22,17.84
138,Punjab,Rawalpindi,Wheat,2007,1604.224059,89,322.84,17.14
139,Punjab,Rawalpindi,Wheat,2008,1806.956522,89,322.84,17.14
140,Punjab,Sargodha,Wheat,1981,1950.859951,89,322.84,17.14
141,Punjab,Sargodha,Wheat,1982,1871.673004,89,322.84,17.14
142,Punjab,Sargodha,Wheat,1983,1637.40458,89,322.84,17.14
143,Punjab,Sargodha,Wheat,1984,1831.610044,89,654.45,17.97
144,Punjab,Sargodha,Wheat,1985,1983.108108,89,654.45,17.97
145,Punjab,Sargodha,Wheat,1986,1777.51974,89,654.45,17.97
146,Punjab,Sargodha,Wheat,1987,1925.960204,89,654.45,17.97
147,Punjab,Sargodha,Wheat,1988,2055.076628,89,654.45,17.97
148,Punjab,Sargodha,Wheat,1989,2085.216573,89,603.67,17.9
149,Punjab,Sargodha,Wheat,1990,2081.573896,89,603.67,17.9
150,Punjab,Sargodha,Wheat,1991,2162.573674,89,603.67,17.9
151,Punjab,Sargodha,Wheat,1992,2043.287938,89,603.67,17.9
152,Punjab,Sargodha,Wheat,1993,2093.29299,89,603.67,17.9
153,Punjab,Sargodha,Wheat,1994,2175.654854,89,710.11,18.13
154,Punjab,Sargodha,Wheat,1995,2284.119736,89,710.11,18.13
155,Punjab,Sargodha,Wheat,1996,2050.025523,89,710.11,18.13
156,Punjab,Sargodha,Wheat,1997,2188.795518,89,710.11,18.13
157,Punjab,Sargodha,Wheat,1998,2096.788991,89,710.11,18.13
158,Punjab,Sargodha,Wheat,1999,2529.692471,89,816.55,17.85
159,Punjab,Sargodha,Wheat,2000,2492.670157,89,816.55,17.85
160,Punjab,Sargodha,Wheat,2001,2548.439182,89,816.55,17.85
161,Punjab,Sargodha,Wheat,2002,2665.615142,89,816.55,17.85
162,Punjab,Sargodha,Wheat,2003,2475.542108,89,816.55,17.85
163,Punjab,Sargodha,Wheat,2004,2730.806142,89,3747.86,17.38
164,Punjab,Sargodha,Wheat,2005,2529.1587,89,3747.86,17.38
165,Punjab,Sargodha,Wheat,2006,2637.330754,89,3747.86,17.38
166,Punjab,Sargodha,Wheat,2007,2271.317829,89,3747.86,17.38
167,Punjab,Sargodha,Wheat,2008,2667.412713,89,3747.86,17.38
168,Punjab,Jhelum,Wheat,1981,907.5144509,89,3662.87,17.19
169,Punjab,Jhelum,Wheat,1982,1143.478261,89,3662.87,17.19
170,Punjab,Jhelum,Wheat,1983,752.0976354,89,3662.87,17.19
171,Punjab,Jhelum,Wheat,1984,940.5405405,89,3662.87,17.19
172,Punjab,Jhelum,Wheat,1985,1277.192982,89,3662.87,17.19
173,Punjab,Jhelum,Wheat,1986,1113.879004,89,4110.72,18.13
174,Punjab,Jhelum,Wheat,1987,1083.146067,89,4110.72,18.13
175,Punjab,Jhelum,Wheat,1988,1351.005484,89,4110.72,18.13
176,Punjab,Jhelum,Wheat,1989,1511.627907,89,4110.72,18.13
177,Punjab,Jhelum,Wheat,1990,1556.313993,89,4110.72,18.13
178,Punjab,Jhelum,Wheat,1991,1500.900901,89,5390.79,17.42
179,Punjab,Jhelum,Wheat,1992,1599.415205,89,5390.79,17.42
180,Punjab,Jhelum,Wheat,1993,936.0967185,89,5390.79,17.42
181,Punjab,Jhelum,Wheat,1994,1512.42236,89,5390.79,17.42
182,Punjab,Jhelum,Wheat,1995,1332.805071,89,5390.79,17.42
183,Punjab,Jhelum,Wheat,1996,1182.250396,89,11556.12,17.55
184,Punjab,Jhelum,Wheat,1997,1832.565284,89,11556.12,17.55
185,Punjab,Jhelum,Wheat,1998,1581.635802,89,11556.12,17.55
186,Punjab,Jhelum,Wheat,1999,1539.688716,89,11556.12,17.55
187,Punjab,Jhelum,Wheat,2000,765.8227848,89,11556.12,17.55
188,Punjab,Jhelum,Wheat,2001,1011.990408,89,3867.99,17.78
189,Punjab,Jhelum,Wheat,2002,1201.814059,89,3867.99,17.78
190,Punjab,Jhelum,Wheat,2003,1602.150538,89,3867.99,17.78
191,Punjab,Jhelum,Wheat,2004,2044.897959,89,3867.99,17.78
192,Punjab,Jhelum,Wheat,2005,1666.666667,89,3867.99,17.78
193,Punjab,Jhelum,Wheat,2006,2110.03861,89,1295.88,17.59
194,Punjab,Jhelum,Wheat,2007,1623.574144,89,1295.88,17.59
195,Punjab,Jhelum,Wheat,2008,2039.09465,89,1295.88,17.59
196,Punjab,Faisalabad,Wheat,1981,3075.44957,89,1295.88,17.59
197,Punjab,Faisalabad,Wheat,1982,1889.66589,89,1295.88,17.59
198,Punjab,Faisalabad,Wheat,1983,1716.988569,89,13861.76,17.79
199,Punjab,Faisalabad,Wheat,1984,1978.33935,89,13861.76,17.79
200,Punjab,Faisalabad,Wheat,1985,2262.47122,89,13861.76,17.79
201,Punjab,Faisalabad,Wheat,1986,1565.838977,89,13861.76,17.79
202,Punjab,Faisalabad,Wheat,1987,1718.908382,89,13861.76,17.79
203,Punjab,Faisalabad,Wheat,1988,2196.969697,89,17379.76,17.91
204,Punjab,Faisalabad,Wheat,1989,1946.195234,89,17379.76,17.91
205,Punjab,Faisalabad,Wheat,1990,1853.441609,89,17379.76,17.91
206,Punjab,Faisalabad,Wheat,1991,2107.609531,89,17379.76,17.91
207,Punjab,Faisalabad,Wheat,1992,1938.213302,89,17379.76,17.91
208,Punjab,Faisalabad,Wheat,1993,2191.530692,89,17278.65,17.65
209,Punjab,Faisalabad,Wheat,1994,2377.786318,89,17278.65,17.65
210,Punjab,Faisalabad,Wheat,1995,2148.119724,89,17278.65,17.65
211,Punjab,Faisalabad,Wheat,1996,2445.882353,89,17278.65,17.65
212,Punjab,Faisalabad,Wheat,1997,2329.006085,89,17278.65,17.65
213,Punjab,Faisalabad,Wheat,1998,2296.434564,1010,64,24.12
214,Punjab,Faisalabad,Wheat,1999,3037.603469,1010,64,24.12
215,Punjab,Faisalabad,Wheat,2000,2924.866514,1010,64,24.12
216,Punjab,Faisalabad,Wheat,2001,2606.157537,1010,64,24.12
217,Punjab,Faisalabad,Wheat,2002,2818.96891,1010,64,24.12
218,Punjab,Faisalabad,Wheat,2003,2976.989815,1010,64,24.12
219,Punjab,Faisalabad,Wheat,2004,3257.586705,1010,79,24.02
220,Punjab,Faisalabad,Wheat,2005,2900.219298,1010,79,24.02
221,Punjab,Faisalabad,Wheat,2006,3100.948767,1010,79,24.02
222,Punjab,Faisalabad,Wheat,2007,2622.790523,1010,79,24.02
223,Punjab,Faisalabad,Wheat,2008,2924.300035,1010,79,24.02
224,Punjab,Gujranwala,Wheat,1981,1309.727917,1010,79,24.02
225,Punjab,Gujranwala,Wheat,1982,1661.17559,1010,23,23.96
226,Punjab,Gujranwala,Wheat,1983,1548.743336,1010,23,23.96
227,Punjab,Gujranwala,Wheat,1984,1770.435447,1010,23,23.96
228,Punjab,Gujranwala,Wheat,1985,1977.062523,1010,23,23.96
229,Punjab,Gujranwala,Wheat,1986,1055.694395,1010,23,23.96
230,Punjab,Gujranwala,Wheat,1987,2039.871841,1010,23,23.96
231,Punjab,Gujranwala,Wheat,1988,2097.280335,1010,169,24.15
232,Punjab,Gujranwala,Wheat,1989,2160.970608,1010,169,24.15
233,Punjab,Gujranwala,Wheat,1990,2083.136991,1010,169,24.15
234,Punjab,Gujranwala,Wheat,1991,2086.75649,1010,169,24.15
235,Punjab,Gujranwala,Wheat,1992,2090.161341,1010,169,24.15
236,Punjab,Gujranwala,Wheat,1993,2176.470588,1010,169,24.15
237,Punjab,Gujranwala,Wheat,1994,2290.808639,1010,25.5,24.04
238,Punjab,Gujranwala,Wheat,1995,2209.095403,1010,25.5,24.04
239,Punjab,Gujranwala,Wheat,1996,2302.891933,1010,25.5,24.04
240,Punjab,Gujranwala,Wheat,1997,2349.74359,1010,25.5,24.04
241,Punjab,Gujranwala,Wheat,1998,2375.2348,1010,25.5,24.04
242,Punjab,Gujranwala,Wheat,1999,2950.023354,1010,25.5,24.04
243,Punjab,Gujranwala,Wheat,2000,2843.474222,1010,336,24.56
244,Punjab,Gujranwala,Wheat,2001,2713.826367,1010,336,24.56
245,Punjab,Gujranwala,Wheat,2002,2785.154449,1010,336,24.56
246,Punjab,Gujranwala,Wheat,2003,2897.940913,1010,336,24.56
247,Punjab,Gujranwala,Wheat,2004,3151.46147,1010,336,24.56
248,Punjab,Gujranwala,Wheat,2005,2982.849604,1010,336,24.56
249,Punjab,Gujranwala,Wheat,2006,3008.57014,1010,40,24.11
250,Punjab,Gujranwala,Wheat,2007,3026.684164,1010,40,24.11
251,Punjab,Gujranwala,Wheat,2008,3195.090986,1010,40,24.11
252,Punjab,Gujrat,Wheat,1981,1344.269466,1010,40,24.11
253,Punjab,Gujrat,Wheat,1982,1404.459991,1010,40,24.11
254,Punjab,Gujrat,Wheat,1983,1281.051677,1010,40,24.11
255,Punjab,Gujrat,Wheat,1984,1075.833714,1010,40,24.06
256,Punjab,Gujrat,Wheat,1985,1540.820734,1010,40,24.06
257,Punjab,Gujrat,Wheat,1986,996.5187119,1010,40,24.06
258,Punjab,Gujrat,Wheat,1987,1330.652368,1010,40,24.06
259,Punjab,Gujrat,Wheat,1988,1593.106535,1010,40,24.06
260,Punjab,Gujrat,Wheat,1989,1582.09607,1010,40,24.06
261,Punjab,Gujrat,Wheat,1990,1574.496056,1010,40,24.96
262,Punjab,Gujrat,Wheat,1991,1728.634361,1010,40,24.96
263,Punjab,Gujrat,Wheat,1992,1671.511628,1010,40,24.96
264,Punjab,Gujrat,Wheat,1993,1567.000912,1010,40,24.96
265,Punjab,Gujrat,Wheat,1994,1853.425846,1010,40,24.96
266,Punjab,Gujrat,Wheat,1995,1708.442124,1010,40,24.96
267,Punjab,Gujrat,Wheat,1996,1624.892704,1010,40,24.37
268,Punjab,Gujrat,Wheat,1997,1893.081761,1010,40,24.37
269,Punjab,Gujrat,Wheat,1998,1767.827529,1010,40,24.37
270,Punjab,Gujrat,Wheat,1999,1955.05618,1010,40,24.37
271,Punjab,Gujrat,Wheat,2000,1112.471308,1010,40,24.37
272,Punjab,Gujrat,Wheat,2001,1393.939394,1010,40,24.37
273,Punjab,Gujrat,Wheat,2002,1707.856598,1010,40,24.41
274,Punjab,Gujrat,Wheat,2003,1801.928783,1010,40,24.41
275,Punjab,Gujrat,Wheat,2004,1984.913793,1010,40,24.41
276,Punjab,Gujrat,Wheat,2005,1911.723164,1010,40,24.41
277,Punjab,Gujrat,Wheat,2006,1985.376045,1010,40,24.41
278,Punjab,Gujrat,Wheat,2007,1621.096461,1010,40,24.41
279,Punjab,Gujrat,Wheat,2008,1858.40708,1010,40,24.41
280,Punjab,Jhang,Wheat,1981,1649.350649,1010,40,24.41
281,Punjab,Jhang,Wheat,1982,1793.152136,1010,40,24.43
282,Punjab,Jhang,Wheat,1983,1671.242279,1010,40,24.43
283,Punjab,Jhang,Wheat,1984,1807.329843,1010,40,24.43
284,Punjab,Jhang,Wheat,1985,2198.28722,1010,40,24.43
285,Punjab,Jhang,Wheat,1986,1637.837838,1010,40,24.43
286,Punjab,Jhang,Wheat,1987,1952.32,1010,40,24.43
287,Punjab,Jhang,Wheat,1988,2101.092044,1010,40,24.43
288,Punjab,Jhang,Wheat,1989,1934.926124,1010,40,24.43
289,Punjab,Jhang,Wheat,1990,1954.701656,1010,40,24.79
290,Punjab,Jhang,Wheat,1991,2147.734327,1010,40,24.79
291,Punjab,Jhang,Wheat,1992,2067.975831,1010,40,24.79
292,Punjab,Jhang,Wheat,1993,2159.607121,1010,40,24.79
293,Punjab,Jhang,Wheat,1994,2241.661613,1010,40,24.79
294,Punjab,Jhang,Wheat,1995,2585.989176,1010,40,24.79
295,Punjab,Jhang,Wheat,1996,2159.516616,1010,40,24.79
296,Punjab,Jhang,Wheat,1997,2284.936479,1010,40,24.79
297,Punjab,Jhang,Wheat,1998,2247.101891,1010,40,24.22
298,Punjab,Jhang,Wheat,1999,2525.171821,1010,40,24.22
299,Punjab,Jhang,Wheat,2000,2547.645429,1010,40,24.22
300,Punjab,Jhang,Wheat,2001,2458.486823,1010,40,24.22
301,Punjab,Jhang,Wheat,2002,2587.404688,1010,40,24.22
302,Punjab,Jhang,Wheat,2003,2661.580381,1010,40,24.22
303,Punjab,Jhang,Wheat,2004,2873.020063,1010,40,24.22
304,Punjab,Jhang,Wheat,2005,2869.069225,1010,40,24.22
305,Punjab,Jhang,Wheat,2006,3089.024714,1010,40,24.41
306,Punjab,Jhang,Wheat,2007,2591.55687,1010,40,24.41
307,Punjab,Jhang,Wheat,2008,2800.249377,1010,40,24.41
308,Punjab,Narowal,Wheat,1981,0,1010,40,24.41
309,Punjab,Narowal,Wheat,1982,0,1010,40,24.41
310,Punjab,Narowal,Wheat,1983,0,1010,40,24.41
311,Punjab,Narowal,Wheat,1984,0,1010,40,24.41
312,Punjab,Narowal,Wheat,1985,0,1010,40,24.41
313,Punjab,Narowal,Wheat,1986,0,1010,40,24.14
314,Punjab,Narowal,Wheat,1987,0,1010,40,24.14
315,Punjab,Narowal,Wheat,1988,0,1010,40,24.14
316,Punjab,Narowal,Wheat,1989,0,1010,40,24.14
317,Punjab,Narowal,Wheat,1990,0,1010,40,24.14
318,Punjab,Narowal,Wheat,1991,1766.728625,1010,40,24.14
319,Punjab,Narowal,Wheat,1992,1959.965187,1010,40,24.14
320,Punjab,Narowal,Wheat,1993,1546.833185,1010,40,24.14
321,Punjab,Narowal,Wheat,1994,1757.105943,1010,40,24.24
322,Punjab,Narowal,Wheat,1995,1837.814397,1010,40,24.24
323,Punjab,Narowal,Wheat,1996,1872.042068,1010,40,24.24
324,Punjab,Narowal,Wheat,1997,2037.865749,1010,40,24.24
325,Punjab,Narowal,Wheat,1998,1772.933549,1010,40,24.24
326,Punjab,Narowal,Wheat,1999,1808.756841,1010,40,24.24
327,Punjab,Narowal,Wheat,2000,1541.698546,1010,40,24.24
328,Punjab,Narowal,Wheat,2001,1647.380766,1010,40,24.24
329,Punjab,Narowal,Wheat,2002,1975.767367,1010,40,24.27
330,Punjab,Narowal,Wheat,2003,2284.515637,1010,40,24.27
331,Punjab,Narowal,Wheat,2004,2477.405248,1010,40,24.27
332,Punjab,Narowal,Wheat,2005,2232.608696,1010,40,24.27
333,Punjab,Narowal,Wheat,2006,2313.953488,1010,40,24.27
334,Punjab,Narowal,Wheat,2007,2037.675607,1010,40,24.27
335,Punjab,Narowal,Wheat,2008,1957.888121,1010,40,24.27
336,Punjab,Toba Tek Singh,Wheat,1981,0,1010,40,24.27
337,Punjab,Toba Tek Singh,Wheat,1982,2465.423465,1010,40,24.33
338,Punjab,Toba Tek Singh,Wheat,1983,2107.680127,1010,40,24.33
339,Punjab,Toba Tek Singh,Wheat,1984,2155.794321,1010,40,24.33
340,Punjab,Toba Tek Singh,Wheat,1985,2546.816479,1010,40,24.33
341,Punjab,Toba Tek Singh,Wheat,1986,1814.868805,1010,40,24.33
342,Punjab,Toba Tek Singh,Wheat,1987,2175.655977,1010,40,24.33
343,Punjab,Toba Tek Singh,Wheat,1988,2413.352273,1010,40,24.33
344,Punjab,Toba Tek Singh,Wheat,1989,2221.428571,1010,40,24.33
345,Punjab,Toba Tek Singh,Wheat,1990,2159.54416,1010,40,24.44
346,Punjab,Toba Tek Singh,Wheat,1991,2468.838527,1010,40,24.44
347,Punjab,Toba Tek Singh,Wheat,1992,2070.809249,1010,40,24.44
348,Punjab,Toba Tek Singh,Wheat,1993,2412.181303,1010,40,24.44
349,Punjab,Toba Tek Singh,Wheat,1994,2568.929321,1010,40,24.44
350,Punjab,Toba Tek Singh,Wheat,1995,2215.031315,1010,40,24.44
351,Punjab,Toba Tek Singh,Wheat,1996,2346.704871,1010,40,24.44
352,Punjab,Toba Tek Singh,Wheat,1997,2672.364672,1010,40,24.44
353,Punjab,Toba Tek Singh,Wheat,1998,2581.21345,1010,40,24.15
354,Punjab,Toba Tek Singh,Wheat,1999,3279.692952,1010,40,24.15
355,Punjab,Toba Tek Singh,Wheat,2000,2849.551415,1010,40,24.15
356,Punjab,Toba Tek Singh,Wheat,2001,2826.882477,1010,40,24.15
357,Punjab,Toba Tek Singh,Wheat,2002,2888.737201,1010,40,24.15
358,Punjab,Toba Tek Singh,Wheat,2003,2834.104428,1010,40,24.15
359,Punjab,Toba Tek Singh,Wheat,2004,2998.059508,1010,40,24.15
360,Punjab,Toba Tek Singh,Wheat,2005,2904.791929,1010,40,24.15
361,Punjab,Toba Tek Singh,Wheat,2006,2941.698352,1010,40,24.24
362,Punjab,Toba Tek Singh,Wheat,2007,2904.458599,1010,40,24.24
363,Punjab,Toba Tek Singh,Wheat,2008,3006.744329,1010,40,24.24
364,Punjab,Sialkot,Wheat,1981,1100.959829,1010,40,24.24
365,Punjab,Sialkot,Wheat,1982,1333.101288,1010,40,24.24
366,Punjab,Sialkot,Wheat,1983,1086.515978,1010,40,24.24
367,Punjab,Sialkot,Wheat,1984,1152.751778,1010,40,24.24
368,Punjab,Sialkot,Wheat,1985,1379.053299,1010,40,24.24
369,Punjab,Sialkot,Wheat,1986,598.8950276,1010,40,24.55
370,Punjab,Sialkot,Wheat,1987,1428.177883,1010,40,24.55
371,Punjab,Sialkot,Wheat,1988,1502.349256,1010,40,24.55
372,Punjab,Sialkot,Wheat,1989,1768.248175,1010,40,24.55
373,Punjab,Sialkot,Wheat,1990,1579.742173,1010,40,24.55
